pair_speaker,text,from_ts,to_ts,utterance_from_ts,utterance_to_ts,original_utterance,speaker,pair
019_A,Zeg,574.662,574.8051818181818,574.662,576.462,"Zeg maar, een plat vierkant.",A,019
019_A,Twee,576.482,576.6866987951807,576.482,578.181,"Twee gebouwen er tegenaan, aan de achterkant.",A,019
019_A,Tegen,578.823,579.0319743589744,578.823,579.638,Tegen dat vierkant.,A,019
019_A,En,580.223,580.2637843137254,580.223,582.303,En dan zo'n neus en twee uitsteksels.,A,019
019_A,Eén,582.363,582.5461348314607,582.363,584.174,Eén naar rechts en eentje naar beneden.,A,019
019_A,De,587.184,587.2510588235294,587.184,587.564,De bakfiets.,A,019
019_A,Dat,587.584,587.6674893617021,587.584,588.565,"Dat was hem, ja.",A,019
019_A,Ehm,599.053,599.9990263157895,599.053,600.616,Ehm even zoeken hoor.,A,019
019_A,Olifanten,601.143,601.7292127659575,601.143,602.127,Olifanten slurf.,A,019
019_A,Die,608.089,608.3749175257733,608.089,610.07,Die wacht olifantenslurf met welke?,A,019
019_A,Met,610.231,610.5455714285714,610.231,610.965,Met twee...,A,019
019_A,En,612.512,612.6147631578947,612.512,614.074,En dan zo'n dienblad ook om zich heen.,A,019
019_A,En,614.759,615.1358387096774,614.759,615.408,En een...,A,019
019_A,"Oké,",617.316,617.756511627907,617.316,618.218,"Oké, dat is *B*.",A,019
019_A,Dit,620.138,620.3007906976744,620.138,621.888,Dit is het gebouw tegen...,A,019
019_A,Aan,622.0,622.0626666666667,622.0,622.94,"Aan de voorkant, zeg maar.",A,019
019_A,Maar,622.96,623.304556701031,622.96,624.926,Maar hij heeft aan de achterkant ook een olifantenslurf.,A,019
019_A,En,625.418,625.5396363636364,625.418,627.648,En dan omhoog en naar links twee ovalen.,A,019
019_A,Zo'n,627.984,628.1082272727273,627.984,628.895,Zo'n uitsteekselding.,A,019
019_A,"Ja,",633.988,634.5870312500001,633.988,635.31,"Ja, ja, klopt.",A,019
019_A,"Ha,",643.283,643.6386923076923,643.283,644.099,"Ha, duidelijk.",A,019
019_A,Oké,644.696,645.1539473684211,644.696,645.487,Oké *E*.,A,019
019_A,Dit,647.406,647.6284999999999,647.406,649.631,Dit is ehm de die ober.,A,019
019_A,Met,649.857,650.0785172413792,649.857,655.113,Met zo'n uitsteeksel en dan nog zo'n zo'n gekke gekke vierkantstaaf of zo.,A,019
019_A,Ook,655.133,655.277,655.133,656.285,Ook uit een uitsteeksel.,A,019
019_A,"Precies,",656.974,657.3233623188406,656.974,658.392,"Precies, ja, en die eh ja",A,019
019_A,Kop,668.544,668.7348529411764,668.544,669.265,Kop in een bakje.,A,019
